ID,Name,Address,Category,Neighborhood,Rating,Reviews,Price,Score,Lat,Lng,Phone,YelpID,Stage,LastUpdated
DUP-001,Doi Moi,"1800 14th St NW, Washington, DC, DC, 20009",Bar,Dupont Circle,4.0,1503,$$,95,38.9141018649927,-77.0321429153443,+12027335131,xPlRRI_bixl9GXqNP3aEFg,Not Started,
DUP-002,Founding Farmers DC,"1924 Pennsylvania Ave NW, Washington, DC, DC, 20006",Coffee,Dupont Circle,4.0,18221,$$,95,38.90029,-77.04442,+12028228783,VA8aPObRynlwR1TGzbzraQ,Not Started,
14TH-001,Tryst,"2459 18th St NW, Washington, DC, DC, 20009",Coffee,14th Street Corridor,4.0,1867,$$,95,38.9219703674316,-77.042121887207,+12022325500,j3l4jSU4LV8Op5PSSQ-XWw,Not Started,
GTWN-001,Baked & Wired,"1052 Thomas Jefferson St NW, Washington, DC, DC, 20007",Coffee,Georgetown,4.4,5334,$$,95,38.9039128490789,-77.0602477800762,+12023332500,Es64Je53efmpWh-BXHjguQ,Not Started,
CAPH-001,Bluejacket,"300 Tingey St SE, Washington, DC, DC, 20003",Brewery,Capitol Hill / Barracks Row,3.5,1408,$$,94,38.874952961886,-77.00076755087,+12025244862,JEZ01JzZAkzEQQCcE_xivA,Not Started,
PENN-001,Urban Roast,"916 G St NW, Washington, DC, DC, 20001",Bar,Penn Quarter / Chinatown,3.4,1028,$$,94,38.89800507172392,-77.02491600347251,+17713335051,-BC5nMSlMV8w0p7zWBMnLg,Not Started,
PENN-002,Pitango Gelato & Coffee,"413 7th St NW, Washington, DC, DC, 20004",Coffee,Penn Quarter / Chinatown,4.2,1078,$$,94,38.8950575888157,-77.0218540728092,+12028859607,sMzTAeBwEjchTZbqG2mlQA,Not Started,
DUP-003,Kramers,"1517 Connecticut Ave NW, Washington, DC, DC, 20036",Bar,Dupont Circle,3.6,2149,$$,93,38.910843111222185,-77.04376803282722,+12023871400,56eh2_ZImiSYeZ6qexhnmA,Not Started,
DUP-004,Zorba's Cafe,"1612 20th St NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,3.9,819,$$,93,38.91169,-77.04517,+12023878555,AVihKWsWaQAp0f2DPdXe4Q,Not Started,
HST-001,Maketto,"1351 H Ne St, Washington, DC, DC, 20002",Cafe,H Street NE,4.2,1337,$$$,93,38.89990414059217,-76.98666519999999,+12028389972,xcmJSS6LAGWLWAsVK6LALA,Not Started,
DUP-005,Un Je Ne Sais Quoi,"1361 Connecticut Ave NW, Washington, DC, DC, 20036",Bakery,Dupont Circle,4.5,1120,$$,92,38.9087384,-77.042577,+12027210099,lRH_cZ08TXKnCS5FKP0Qow,Not Started,
DUP-006,Tatte Bakery & Cafe,"1200 New Hampshire Ave NW, Washington, DC, DC, 20036",Coffee,Dupont Circle,4.1,677,$$,92,38.905814,-77.047639,+12029198300,dCXve1mqUIr7oB9DwJm6DA,Not Started,
DUP-007,Dolcezza,"1704 Connecticut Ave NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,4.2,722,$$,92,38.91286949736816,-77.04555414341571,+12022999116,fWwSW-NyZtRva6LLZwWptw,Not Started,
DUP-008,Colada Shop,"1405 T St NW, Washington, DC, DC, 20009",Bar,Dupont Circle,4.0,626,$$,91,38.91573591326277,-77.0323945288129,+12029314947,QrU-5UGZjTQIj420eNZsWw,Not Started,
