ID,Name,Address,Category,Neighborhood,Rating,Reviews,Price,Score,Lat,Lng,Phone,YelpID
DUP-001,Doi Moi,"1800 14th St NW, Washington, DC, DC, 20009",Bar,Dupont Circle,4.0,1503,$$,95,38.9141018649927,-77.0321429153443,+12027335131,xPlRRI_bixl9GXqNP3aEFg
DUP-002,Founding Farmers DC,"1924 Pennsylvania Ave NW, Washington, DC, DC, 20006",Coffee,Dupont Circle,4.0,18221,$$,95,38.90029,-77.04442,+12028228783,VA8aPObRynlwR1TGzbzraQ
14TH-001,Tryst,"2459 18th St NW, Washington, DC, DC, 20009",Coffee,14th Street Corridor,4.0,1867,$$,95,38.9219703674316,-77.042121887207,+12022325500,j3l4jSU4LV8Op5PSSQ-XWw
GTWN-001,Baked & Wired,"1052 Thomas Jefferson St NW, Washington, DC, DC, 20007",Coffee,Georgetown,4.4,5334,$$,95,38.9039128490789,-77.0602477800762,+12023332500,Es64Je53efmpWh-BXHjguQ
CAPH-001,Bluejacket,"300 Tingey St SE, Washington, DC, DC, 20003",Brewery,Capitol Hill / Barracks Row,3.5,1408,$$,94,38.874952961886,-77.00076755087,+12025244862,JEZ01JzZAkzEQQCcE_xivA
PENN-001,Urban Roast,"916 G St NW, Washington, DC, DC, 20001",Bar,Penn Quarter / Chinatown,3.4,1028,$$,94,38.89800507172392,-77.02491600347251,+17713335051,-BC5nMSlMV8w0p7zWBMnLg
PENN-002,Pitango Gelato & Coffee,"413 7th St NW, Washington, DC, DC, 20004",Coffee,Penn Quarter / Chinatown,4.2,1078,$$,94,38.8950575888157,-77.0218540728092,+12028859607,sMzTAeBwEjchTZbqG2mlQA
DUP-003,Kramers,"1517 Connecticut Ave NW, Washington, DC, DC, 20036",Bar,Dupont Circle,3.6,2149,$$,93,38.910843111222185,-77.04376803282722,+12023871400,56eh2_ZImiSYeZ6qexhnmA
DUP-004,Zorba's Cafe,"1612 20th St NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,3.9,819,$$,93,38.91169,-77.04517,+12023878555,AVihKWsWaQAp0f2DPdXe4Q
HST-001,Maketto,"1351 H Ne St, Washington, DC, DC, 20002",Cafe,H Street NE,4.2,1337,$$$,93,38.89990414059217,-76.98666519999999,+12028389972,xcmJSS6LAGWLWAsVK6LALA
DUP-005,Un Je Ne Sais Quoi,"1361 Connecticut Ave NW, Washington, DC, DC, 20036",Bakery,Dupont Circle,4.5,1120,$$,92,38.9087384,-77.042577,+12027210099,lRH_cZ08TXKnCS5FKP0Qow
DUP-006,Tatte Bakery & Cafe,"1200 New Hampshire Ave NW, Washington, DC, DC, 20036",Coffee,Dupont Circle,4.1,677,$$,92,38.905814,-77.047639,+12029198300,dCXve1mqUIr7oB9DwJm6DA
DUP-007,Dolcezza,"1704 Connecticut Ave NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,4.2,722,$$,92,38.91286949736816,-77.04555414341571,+12022999116,fWwSW-NyZtRva6LLZwWptw
DUP-008,Colada Shop,"1405 T St NW, Washington, DC, DC, 20009",Bar,Dupont Circle,4.0,626,$$,91,38.91573591326277,-77.0323945288129,+12029314947,QrU-5UGZjTQIj420eNZsWw
DUP-009,Slipstream,"1333 14th St NW, Washington, DC, DC, 20005",Bar,Dupont Circle,3.8,621,$$,91,38.90987957664383,-77.03157736231253,+12024502216,UFjbGG5nINRK91IIWZ_Ceg
DUP-010,Teaism Dupont Circle,"2009 R St NW, Washington, DC, DC, 20009",Cafe,Dupont Circle,3.8,806,$$,91,38.9127931770185,-77.045775666903,+12026673827,D_tXYPdRki1jj636wtEWxA
DUP-011,Emissary,"2032 P St NW, Washington, DC, DC, 20036",Coffee,Dupont Circle,4.0,561,$$,91,38.90951,-77.04638,+12026422603,UY9o8MliuSz79wYDZIatjg
DUP-012,Bluestone Lane DC Library,"1100 23rd St NW, Washington, DC, DC, 20037",Coffee,Dupont Circle,3.8,560,$$,91,38.9038876,-77.0504437,+17183746858,gtZBZzFy9jxigKe96DmsVQ
LOG-001,Right Proper Brewing Company,"624 T St NW, Washington, DC, DC, 20001",Brewery,Logan Circle,4.0,785,$$,91,38.9153595,-77.021347,+12026072337,JRI2e5wMq4-HqVt4LRGmnQ
LOG-002,La Colombe,"924 Rear N St NW, Washington, DC, DC, 20001",Coffee,Logan Circle,4.3,562,$$,91,38.90695,-77.02492,+12022894850,rrCYeba9B2HeIOxJ37YvAw
COLH-001,Heat Da Spot,"3213 Georgia Ave NW, Washington, DC, DC, 20010",Coffee,Columbia Heights,4.8,522,$$,91,38.9304254,-77.0232633,+12028364719,KUo-lJo5bU8ToIjGbUB9pg
COLH-002,Call Your Mother Deli - Park View,"3301 Georgia Ave NW, Washington, DC, DC, 20010",Coffee,Columbia Heights,4.2,609,$$,91,38.93138,-77.0233,+12024505307,0-OTVzmRIV1csYwQYuCa8g
PETW-001,Highlands,"4706 14th St NW, Washington, DC, DC, 20011",Coffee,Petworth,4.1,579,$$,91,38.94752,-77.03307,+12028296200,jcpw8JWWBPIvr7f6QvbJDg
HST-002,Sidamo Coffee and Tea,"417 H St NE, Washington, DC, DC, 20002",Coffee,H Street NE,4.3,541,$,91,38.90002,-76.99991,+12025480081,ADF7xgqyzBvUzEnXlZHAOA
HST-003,Ebenezers Coffeehouse,"201 F St NE, Washington, DC, DC, 20002",Coffee,H Street NE,4.1,603,$$,91,38.8971287119908,-77.0032858099355,+12025586900,MXevZNlkpEASkR3G5wDi_Q
HST-004,Olivia Macaron,"405 Morse St NE, Washington, DC, DC, 20002",Coffee,H Street NE,3.9,522,$$,91,38.90763320754142,-76.99978727351687,+12029651000,qP8rYYnA1eIqmy6x7IHNFg
CAPH-002,Peregrine Espresso,"660 Pennsylvania Ave SE, Washington, DC, DC, 20003",Coffee,Capitol Hill / Barracks Row,4.2,540,$$,91,38.88553632545,-76.996396911717,+12026294381,3RpL7kvcWoJi9wsI7muJrg
