ID,Name,Address,Category,Neighborhood,Rating,Reviews,Price,Score,Lat,Lng,Phone,YelpID
COLH-001,Heat Da Spot,"3213 Georgia Ave NW, Washington, DC, DC, 20010",Coffee,Columbia Heights,4.8,522,$$,92,38.9304254,-77.0232633,+12028364719,KUo-lJo5bU8ToIjGbUB9pg
DUP-001,Un Je Ne Sais Quoi,"1361 Connecticut Ave NW, Washington, DC, DC, 20036",Bakery,Dupont Circle,4.5,1120,$$,89,38.9087384,-77.042577,+12027210099,lRH_cZ08TXKnCS5FKP0Qow
DUP-002,Nino's Bakery,"1310 L St NW, Washington, DC, DC, 20005",Coffee,Dupont Circle,4.8,204,$$,89,38.903555,-77.030344,+12024399617,AlBPgkqSu5VNYgccV0oBdg
DUP-003,DUA DC Coffee,"923 15th St NW, Washington, DC, DC, 20005",Coffee,Dupont Circle,4.6,383,$$,89,38.90191,-77.03328,+12023474404,4-toMvtZ8lUd26BAKRLi4Q
GTWN-001,Baked & Wired,"1052 Thomas Jefferson St NW, Washington, DC, DC, 20007",Coffee,Georgetown,4.4,5334,$$,89,38.9039128490789,-77.0602477800762,+12023332500,Es64Je53efmpWh-BXHjguQ
DUP-004,Three Fifty Bakery and Coffee Bar,"1641 R St NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,4.5,367,$$,88,38.91275337449321,-77.0382126,+12026291022,Ne6zAVweeVO8Wl9oFDqKSA
CAPH-001,Lot 38 Espresso Bar,"1001 2nd St SE, Washington, DC, DC, 20003",Coffee,Capitol Hill / Barracks Row,4.5,320,$,88,38.8776829823059,-77.0036673545837,+12027580677,Xim_ZO4YjoFb2_3VLsyBcQ
GTWN-002,Crumbs & Whiskers - Kitten & Cat Cafe,"3109 M St NW, Washington, DC, DC, 20007",Coffee,Georgetown,4.6,244,,88,38.905315280565354,-77.0615058,+12023332814,G62_iggmugDRXJf_i25Hhw
ADAM-001,Mount Desert Island Ice Cream,"3110 Mt Pleasant St NW, Washington, DC, DC, 20010",Coffee,Adams Morgan,4.6,200,$$,87,38.9291879,-77.0377248,+12408047038,D8MPRmp2oAOZiAs8OWevBg
PETW-001,Büna Coffeehouse,"4400 Georgia Ave NW, Washington, DC, DC, 20011",Coffee,Petworth,4.7,172,$$,87,38.9441184997559,-77.0264511108398,+12028822223,YUHzh9yvtsrhdDYAfQavHA
HST-001,Spot of Tea - Union Market,"1309 5th St NE, Washington, DC, DC, 20002",Coffee,H Street NE,4.6,180,$$,87,38.908598,-76.997378,+18333221754,5FsYqbLJOj-7T110pLiECg
PENN-001,Pitango Gelato & Coffee,"413 7th St NW, Washington, DC, DC, 20004",Coffee,Penn Quarter / Chinatown,4.2,1078,$$,87,38.8950575888157,-77.0218540728092,+12028859607,sMzTAeBwEjchTZbqG2mlQA
GTWN-003,Yellow The Cafe,"1524 Wisconsin Ave NW, Washington, DC, DC, 20007",Bakery,Georgetown,4.5,526,$$,87,38.909471,-77.064615,,vI1hA_38t6M8kvMAcbtxZQ
DUP-005,Founding Farmers DC,"1924 Pennsylvania Ave NW, Washington, DC, DC, 20006",Coffee,Dupont Circle,4.0,18221,$$,86,38.90029,-77.04442,+12028228783,VA8aPObRynlwR1TGzbzraQ
DUP-006,Spot of Tea - Dupont Circle,"2101 P St NW, Washington, DC, DC, 20037",Coffee,Dupont Circle,4.7,115,$$,86,38.909786,-77.046866,+18445679632,iK21xOxLqycv71xeuBMPuQ
DUP-007,Dolcezza,"1704 Connecticut Ave NW, Washington, DC, DC, 20009",Coffee,Dupont Circle,4.2,722,$$,86,38.91286949736816,-77.04555414341571,+12022999116,fWwSW-NyZtRva6LLZwWptw
LOG-001,Family Ethiopian Resturant,"1414 9th St NW, Washington, DC, DC, 20001",Bar,Logan Circle,4.6,167,$$,86,38.909153,-77.024216,+12026292950,2Q5T6SFM7thhr_W7VbKnAw
LOG-002,La Colombe,"924 Rear N St NW, Washington, DC, DC, 20001",Coffee,Logan Circle,4.3,562,$$,86,38.90695,-77.02492,+12022894850,rrCYeba9B2HeIOxJ37YvAw
14TH-001,Tryst,"2459 18th St NW, Washington, DC, DC, 20009",Coffee,14th Street Corridor,4.0,1867,$$,86,38.9219703674316,-77.042121887207,+12022325500,j3l4jSU4LV8Op5PSSQ-XWw
14TH-002,Soleluna,"1789 Columbia Rd NW, Washington, DC, DC, 20009",Coffee,14th Street Corridor,4.6,158,,86,38.923114551740255,-77.0423368,,_WxNQeKwlFKTpQ93k8gLnQ
COLH-002,Doubles,"3118 Georgia Ave NW, Washington, DC, DC, 20010",Bar,Columbia Heights,4.5,220,$,86,38.9296029509668,-77.0235609626942,+12027227202,0vZNEMGn9f9PXd9nhNRlbA
COLH-003,Harrar Coffee & Roastery,"2904 Georgia Ave NW, Washington, DC, DC, 20001",Coffee,Columbia Heights,4.6,131,$,86,38.9273769324706,-77.0232442503307,+12022990101,yMjOd5wvmiUiyQuIn7WjEQ
PETW-002,Little Food Studio,"849 Upshur St NW, Washington, DC, DC, 20011",Coffee,Petworth,4.9,65,,86,38.94204509936995,-77.02479976950916,+17712424037,-45B0X5tVfhT7sfj7kWRkw
HST-002,Sidamo Coffee and Tea,"417 H St NE, Washington, DC, DC, 20002",Coffee,H Street NE,4.3,541,$,86,38.90002,-76.99991,+12025480081,ADF7xgqyzBvUzEnXlZHAOA
NAVY-001,Grounded,"1913 Martin Luther King Jr Ave SE, Washington, DC, DC, 20020",Cafe,Navy Yard / The Wharf,4.9,122,$,86,38.86714139653188,-76.98891818220386,+18446841211,8n8_4fPITWiq4o3kHcuHJA
GTWN-004,Call Your Mother Deli - Georgetown,"3428 O St NW, Washington, DC, DC, 20007",Coffee,Georgetown,4.4,429,$$,86,38.9076174,-77.068837,+12028916316,sXFBW4wWKmAraO4O_Z6nWg
DUP-008,Pisco y Nazca Ceviche Gastrobar,"1823 L St NW, Washington, DC, DC, 20036",Bar,Dupont Circle,4.6,2863,$$,85,38.90398223,-77.0426388,+12025593726,VlDWu_ftKpLmWoC0x7x1dA
DUP-009,Doi Moi,"1800 14th St NW, Washington, DC, DC, 20009",Bar,Dupont Circle,4.0,1503,$$,85,38.9141018649927,-77.0321429153443,+12027335131,xPlRRI_bixl9GXqNP3aEFg
DUP-010,Call Your Mother Deli - West End,"1143 New Hampshire Ave NW, Washington, DC, DC, 20037",Coffee,Dupont Circle,4.4,323,$$,85,38.90503489949321,-77.04746294334602,+12027730871,7iarOI_KWOJI4ajix30WuQ
DUP-011,Tatte Bakery & Cafe,"1200 New Hampshire Ave NW, Washington, DC, DC, 20036",Coffee,Dupont Circle,4.1,677,$$,85,38.905814,-77.047639,+12029198300,dCXve1mqUIr7oB9DwJm6DA
14TH-003,Sankofa Video Books & Cafe,"2714 Georgia Ave NW, Washington, DC, DC, 20001",Cafe,14th Street Corridor,4.6,179,$,85,38.925561,-77.02315,+12022344755,Qw35fIYpmBTdFuaGWjw2gg
