ID,Name,Address,Category,Pod,Indoor,Outdoor,Score,Corner,Lat,Lng
D1-001,Daily Provisions,1723 Connecticut Ave NW,Cafe,D1,5,5,92,Yes,38.9125,-77.0440
D1-002,Kramers,1517 Connecticut Ave NW,Books/Cafe,D1,5,4,90,No,38.9102,-77.0434
D1-003,Circa at Dupont,1601 Connecticut Ave NW,Restaurant,D1,5,5,90,Yes,38.9110,-77.0435
D1-004,Dolcezza,1704 Connecticut Ave NW,Coffee/Gelato,D1,4,5,88,No,38.9125,-77.0440
D1-005,Teaism,2009 R St NW,Tea House,D1,4,5,86,Yes,38.9127,-77.0456
D1-006,Bistrot Du Coin,1738 Connecticut Ave NW,Restaurant,D1,4,5,86,No,38.9130,-77.0443
D1-007,Tabard Inn,1739 N St NW,Hotel/Restaurant,D1,5,4,85,No,38.9085,-77.0432
D1-008,City Tap House,1250 Connecticut Ave NW,Bar/Restaurant,D1,5,4,84,No,38.9065,-77.0420
D1-009,Sette Osteria,1666 Connecticut Ave NW,Restaurant,D1,4,4,83,No,38.9118,-77.0438
D1-010,City Lights of China,1731 Connecticut Ave NW,Restaurant,D1,4,3,78,No,38.9128,-77.0441
D1-011,Starbucks Dupont,1501 Connecticut Ave NW,Coffee,D1,4,4,78,Yes,38.9100,-77.0432
D1-012,Zeleno,1605 Connecticut Ave NW,Cafe,D1,4,3,76,No,38.9112,-77.0436
D1-013,Yoga District Dupont,1635 Connecticut Ave NW,Fitness,D1,4,2,75,No,38.9115,-77.0438
D1-014,Tea Mansion,1627 Connecticut Ave NW,Tea House,D1,3,2,72,No,38.9113,-77.0437
D1-015,Un Je Ne Sais Quoi,1361 Connecticut Ave NW,Bakery,D1,4,3,72,No,38.9078,-77.0420
D1-016,Toastique,1800 Connecticut Ave NW,Cafe,D1,4,4,80,No,38.9138,-77.0446
D1-017,Bon Bekes Bakehouse,1718 Connecticut Ave NW,Bakery,D1,3,3,70,No,38.9128,-77.0442
